thingId;G;F;D
28950;0.47;0.47;1.0
28951;0.47;0.47;1.0
28952;0.46;0.46;0.99
28953;0.45;0.45;0.99
28954;0.47;0.47;1.0
28955;0.46;0.46;0.99
28956;0.45;0.45;1.0
28957;0.45;0.45;0.99
28958;0.9;0.9;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.9;0.9;1.0
28962;0.9;0.9;1.0
28963;0.9;0.9;1.0
28964;0.9;0.9;1.0
28965;0.47;0.47;1.0
28966;0.47;0.47;1.0
28967;0.47;0.47;1.0
28968;0.46;0.46;1.0
28969;0.46;0.46;1.0
28970;0.45;0.45;1.0
28971;0.47;0.47;1.0
28972;0.45;0.45;1.0
28973;0.47;0.47;1.0
28974;0.46;0.46;1.0
28975;0.45;0.45;1.0
28976;0.47;0.47;1.0
28977;0.45;0.45;1.0
28978;0.46;0.46;1.0
28979;0.45;0.45;1.0
28980;0.45;0.45;1.0
28981;0.46;0.46;1.0
28982;0.46;0.46;1.0
28983;0.47;0.47;1.0
28984;0.45;0.45;1.0
28985;0.45;0.45;1.0
28986;0.44;0.44;1.0
28987;0.45;0.45;1.0
28938;0.9;0.9;1.0
28939;0.9;0.9;1.0
28940;0.9;0.9;1.0
28941;0.9;0.9;1.0
28942;0.9;0.9;1.0
28943;0.46;0.47;0.99
28944;0.47;0.47;1.0
28945;0.46;0.46;1.0
28946;0.46;0.46;1.0
28947;0.45;0.45;1.0
28948;0.46;0.46;1.0
28949;0.45;0.45;1.0
28950;0.47;0.47;1.0
28951;0.47;0.47;1.0
28952;0.46;0.46;0.99
28953;0.45;0.45;1.0
28954;0.47;0.47;1.0
28955;0.46;0.46;1.0
28956;0.45;0.45;1.0
28957;0.45;0.45;0.99
28958;0.9;0.9;1.0
28959;0.9;0.9;1.0
28960;0.9;0.9;1.0
28961;0.9;0.9;1.0
28962;0.9;0.9;1.0
28963;0.9;0.9;1.0
28964;0.9;0.9;1.0
28965;0.47;0.47;1.0
28966;0.46;0.46;1.0
